,"{'Name': '', 'Gender': 'Male', 'Married': False, 'Profession': 'president', 'Alive': True, 'Nationality': 'Unknown', 'Children': False}"
Murli Manohar Joshi,"{'Name': 'Murli Manohar Joshi', 'Gender': 'Male', 'Age': '80', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1934', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Gustav Bauer,"{'Name': 'Gustav Bauer', 'Gender': 'Male', 'Age': '74', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1870', 'Nationality': 'Unknown', 'Deathyear': '1944', 'Children': False}"
Traudl Junge,"{'Name': 'Traudl Junge', 'Gender': 'Female', 'Age': '82', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1920', 'Nationality': 'German', 'Deathyear': '2002', 'Children': True}"
The D.O.C,"{'Name': 'The D.O.C', 'Gender': 'Male', 'Age': '46', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1968', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
S. B. Chavan,"{'Name': 'S. B. Chavan', 'Gender': 'Male', 'Age': '84', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1920', 'Nationality': 'Indian', 'Deathyear': '2004', 'Children': True}"
Tribhuvana Narayana Singh,"{'Name': 'Tribhuvana Narayana Singh', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1904', 'Nationality': 'Unknown', 'Deathyear': '1982', 'Children': False}"
Charity Ngilu,"{'Name': 'Charity Ngilu', 'Gender': 'Female', 'Age': '62', 'Married': False, 'Profession': 'entrepreneur', 'Alive': True, 'Birthyear': '1952', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Wycliffe Oparanya,"{'Name': 'Wycliffe Oparanya', 'Gender': 'Male', 'Age': '58', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Yashwantrao Chavan,"{'Name': 'Yashwantrao Chavan', 'Gender': 'Male', 'Age': '71', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Unknown', 'Deathyear': '1984', 'Children': False}"
Ruth Bader Ginsburg,"{'Name': 'Ruth Bader Ginsburg', 'Gender': 'Female', 'Age': '81', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1933', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
James F. Byrnes,"{'Name': 'James F. Byrnes', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1882', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': False}"
Michael Castle,"{'Name': 'Michael Castle', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Mahmoud Ahmadinejad,"{'Name': 'Mahmoud Ahmadinejad', 'Gender': 'Male', 'Age': '58', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Kim Kardashian,"{'Name': 'Kim Kardashian', 'Gender': 'Female', 'Age': '34', 'Married': True, 'Profession': 'model', 'Alive': True, 'Birthyear': '1980', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Franz von Papen,"{'Name': 'Franz von Papen', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1879', 'Nationality': 'Unknown', 'Deathyear': '1969', 'Children': True}"
Bryan Ferry,"{'Name': 'Bryan Ferry', 'Gender': 'Male', 'Age': '69', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1945', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Michael Moore,"{'Name': 'Michael Moore', 'Gender': 'Male', 'Age': '60', 'Married': True, 'Profession': 'author', 'Alive': True, 'Birthyear': '1954', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Digvijaya Singh,"{'Name': 'Digvijaya Singh', 'Gender': 'Male', 'Age': '67', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Benedict Arnold,"{'Name': 'Benedict Arnold', 'Gender': 'Male', 'Age': '60', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1741', 'Nationality': 'Unknown', 'Deathyear': '1801', 'Children': False}"
Harry Houdini,"{'Name': 'Harry Houdini', 'Gender': 'Male', 'Age': '52', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1874', 'Nationality': 'Unknown', 'Deathyear': '1926', 'Children': False}"
Dom Kennedy,"{'Name': 'Dom Kennedy', 'Gender': 'Male', 'Age': '30', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1984', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Swizz Beatz,"{'Name': 'Swizz Beatz', 'Gender': 'Male', 'Age': '36', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1978', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Joseph Conrad,"{'Name': 'Joseph Conrad', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1857', 'Nationality': 'Polish', 'Deathyear': '1924', 'Children': True}"
Patrice Lumumba,"{'Name': 'Patrice Lumumba', 'Gender': 'Male', 'Age': '36', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1925', 'Nationality': 'Unknown', 'Deathyear': '1961', 'Children': True}"
Bipin Chandra Pal,"{'Name': 'Bipin Chandra Pal', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1858', 'Nationality': 'Unknown', 'Deathyear': '1932', 'Children': False}"
Evans Kidero,"{'Name': 'Evans Kidero', 'Gender': 'Male', 'Age': '57', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1957', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
C. Rajagopalachari,"{'Name': 'C. Rajagopalachari', 'Gender': 'Male', 'Age': '94', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1878', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': False}"
Gopal Krishna Gokhale,"{'Name': 'Gopal Krishna Gokhale', 'Gender': 'Male', 'Age': '49', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1866', 'Nationality': 'Indian', 'Deathyear': '1915', 'Children': False}"
Mohammad Hidayatullah,"{'Name': 'Mohammad Hidayatullah', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'vice-president', 'Alive': False, 'Birthyear': '1905', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': False}"
David Bowie,"{'Name': 'David Bowie', 'Gender': 'Male', 'Age': '67', 'Married': True, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
David I. Walsh,"{'Name': 'David I. Walsh', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1872', 'Nationality': 'Unknown', 'Deathyear': '1947', 'Children': False}"
L. K. Advani,"{'Name': 'L. K. Advani', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1927', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Robert Kardashian,"{'Name': 'Robert Kardashian', 'Gender': 'Male', 'Age': '59', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1944', 'Nationality': 'Unknown', 'Deathyear': '2003', 'Children': True}"
Matthew Ridgway,"{'Name': 'Matthew Ridgway', 'Gender': 'Male', 'Age': '98', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1895', 'Nationality': 'Unknown', 'Deathyear': '1993', 'Children': False}"
Mitt Romney,"{'Name': 'Mitt Romney', 'Gender': 'Male', 'Age': '67', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
William Howard Taft,"{'Name': 'William Howard Taft', 'Gender': 'Male', 'Age': '73', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1857', 'Nationality': 'Unknown', 'Deathyear': '1930', 'Children': True}"
Maneka Gandhi,"{'Name': 'Maneka Gandhi', 'Gender': 'Female', 'Age': '58', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
John Greenleaf Whittier,"{'Name': 'John Greenleaf Whittier', 'Gender': 'Male', 'Age': '85', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1807', 'Nationality': 'Unknown', 'Deathyear': '1892', 'Children': False}"
Pope Pius IX,"{'Name': 'Pope Pius IX', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1792', 'Nationality': 'Unknown', 'Deathyear': '1878', 'Children': False}"
Snoop Dogg,"{'Name': 'Snoop Dogg', 'Gender': 'Male', 'Age': '43', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1971', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
N. D. Tiwari,"{'Name': 'N. D. Tiwari', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1925', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Kanye West,"{'Name': 'Kanye West', 'Gender': 'Male', 'Age': '37', 'Married': True, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1977', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Sydney Tamiia Poitier,"{'Name': 'Sydney Tamiia Poitier', 'Gender': 'Female', 'Age': '41', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1973', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
J. Cole,"{'Name': 'J. Cole', 'Gender': 'Male', 'Age': '29', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1985', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Fyodor Dostoyevsky,"{'Name': 'Fyodor Dostoyevsky', 'Gender': 'Male', 'Age': '60', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1821', 'Nationality': 'Russian', 'Deathyear': '1881', 'Children': True}"
Orval Faubus,"{'Name': 'Orval Faubus', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1910', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': True}"
Bob Fitzsimmons,"{'Name': 'Bob Fitzsimmons', 'Gender': 'Male', 'Age': '54', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1863', 'Nationality': 'British', 'Deathyear': '1917', 'Children': False}"
Lodovico Carracci,"{'Name': 'Lodovico Carracci', 'Gender': 'Male', 'Age': '64', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1555', 'Nationality': 'Italian', 'Deathyear': '1619', 'Children': False}"
Pratibha Patil,"{'Name': 'Pratibha Patil', 'Gender': 'Female', 'Age': '80', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1934', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Rudolf Hess,"{'Name': 'Rudolf Hess', 'Gender': 'Male', 'Age': '93', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1894', 'Nationality': 'German', 'Deathyear': '1987', 'Children': True}"
Akbar,"{'Name': 'Akbar', 'Gender': 'Male', 'Age': '63', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1542', 'Nationality': 'Unknown', 'Deathyear': '1605', 'Children': False}"
Vallabhbhai Patel,"{'Name': 'Vallabhbhai Patel', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1875', 'Nationality': 'Indian', 'Deathyear': '1950', 'Children': True}"
Schoolboy Q,"{'Name': 'Schoolboy Q', 'Gender': 'Male', 'Age': '28', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1986', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Phife Dawg,"{'Name': 'Phife Dawg', 'Gender': 'Male', 'Age': '44', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1970', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Wilhelm Frick,"{'Name': 'Wilhelm Frick', 'Gender': 'Male', 'Age': '69', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1877', 'Nationality': 'German', 'Deathyear': '1946', 'Children': True}"
Dean G. Acheson,"{'Name': 'Dean G. Acheson', 'Gender': 'Male', 'Age': '78', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1893', 'Nationality': 'Unknown', 'Deathyear': '1971', 'Children': True}"
Sanjay Gandhi,"{'Name': 'Sanjay Gandhi', 'Gender': 'Male', 'Age': '34', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': '1980', 'Children': True}"
Paris Hilton,"{'Name': 'Paris Hilton', 'Gender': 'Female', 'Age': '33', 'Married': False, 'Profession': 'actress', 'Alive': True, 'Birthyear': '1981', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Sardar Patel,"{'Name': 'Sardar Patel', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1875', 'Nationality': 'Indian', 'Deathyear': '1950', 'Children': True}"
William Delgado,"{'Name': 'William Delgado', 'Gender': 'Male', 'Age': '58', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Lee Majors,"{'Name': 'Lee Majors', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Stansfield Turner,"{'Name': 'Stansfield Turner', 'Gender': 'Male', 'Age': '91', 'Married': False, 'Profession': 'president', 'Alive': True, 'Birthyear': '1923', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Gerald Ford,"{'Name': 'Gerald Ford', 'Gender': 'Male', 'Age': '93', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': True}"
Trevor Nunn,"{'Name': 'Trevor Nunn', 'Gender': 'Male', 'Age': '74', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1940', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Feroze Gandhi,"{'Name': 'Feroze Gandhi', 'Gender': 'Male', 'Age': '48', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1912', 'Nationality': 'Indian', 'Deathyear': '1960', 'Children': True}"
Fabrizio Sceberras Testaferrata,"{'Name': 'Fabrizio Sceberras Testaferrata', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1757', 'Nationality': '&#160;Maltese', 'Deathyear': '1843', 'Children': False}"
Giuseppe Pecci,"{'Name': 'Giuseppe Pecci', 'Gender': 'Male', 'Age': '83', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1807', 'Nationality': 'Italian', 'Deathyear': '1890', 'Children': False}"
Javed Siddiqui,"{'Name': 'Javed Siddiqui', 'Gender': 'Male', 'Age': '72', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1942', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Foster Furcolo,"{'Name': 'Foster Furcolo', 'Gender': 'Male', 'Age': '84', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1911', 'Nationality': 'Unknown', 'Deathyear': '1995', 'Children': False}"
Deron Williams,"{'Name': 'Deron Williams', 'Gender': 'Male', 'Age': '30', 'Married': False, 'Profession': 'basketball player', 'Alive': True, 'Birthyear': '1984', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
Nelson Rockefeller,"{'Name': 'Nelson Rockefeller', 'Gender': 'Male', 'Age': '71', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1908', 'Nationality': 'Unknown', 'Deathyear': '1979', 'Children': True}"
Gavin Newsom,"{'Name': 'Gavin Newsom', 'Gender': 'Male', 'Age': '47', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1967', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Michelle Obama,"{'Name': 'Michelle Obama', 'Gender': 'Female', 'Age': '50', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1964', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Amy Yasbeck,"{'Name': 'Amy Yasbeck', 'Gender': 'Female', 'Age': '52', 'Married': True, 'Profession': 'actress', 'Alive': True, 'Birthyear': '1962', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Robert S. Ingersoll,"{'Name': 'Robert S. Ingersoll', 'Gender': 'Male', 'Age': '96', 'Married': True, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1914', 'Nationality': 'Unknown', 'Deathyear': '2010', 'Children': False}"
L. V. Prasad,"{'Name': 'L. V. Prasad', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1908', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': False}"
Ernest Istook,"{'Name': 'Ernest Istook', 'Gender': 'Male', 'Age': '64', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1950', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
A Kid Named Cudi,"{'Name': 'A Kid Named Cudi', 'Gender': 'Male', 'Age': '30', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1984', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Young Jeezy,"{'Name': 'Young Jeezy', 'Gender': 'Male', 'Age': '37', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1977', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Mike Markkula,"{'Name': 'Mike Markkula', 'Gender': 'Male', 'Age': '72', 'Married': False, 'Profession': 'entrepreneur', 'Alive': True, 'Birthyear': '1942', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Mike Judge,"{'Name': 'Mike Judge', 'Gender': 'Male', 'Age': '52', 'Married': True, 'Profession': 'judge', 'Alive': True, 'Birthyear': '1962', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Pandit Jawaharlal Nehru,"{'Name': 'Pandit Jawaharlal Nehru', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1889', 'Nationality': 'Unknown', 'Deathyear': '1964', 'Children': True}"
Robert Graves,"{'Name': 'Robert Graves', 'Gender': 'Male', 'Age': '90', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1895', 'Nationality': 'British', 'Deathyear': '1985', 'Children': False}"
Pawan Kumar Bansal,"{'Name': 'Pawan Kumar Bansal', 'Gender': 'Male', 'Age': '66', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1948', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Feroz Khan,"{'Name': 'Feroz Khan', 'Gender': 'Male', 'Age': '70', 'Married': True, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1939', 'Nationality': 'Indian', 'Deathyear': '2009', 'Children': True}"
Alben W. Barkley,"{'Name': 'Alben W. Barkley', 'Gender': 'Male', 'Age': '79', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1877', 'Nationality': 'Unknown', 'Deathyear': '1956', 'Children': True}"
T. E. Lawrence,"{'Name': 'T. E. Lawrence', 'Gender': 'Male', 'Age': '47', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1888', 'Nationality': 'Unknown', 'Deathyear': '1935', 'Children': False}"
Oscar Wilde,"{'Name': 'Oscar Wilde', 'Gender': 'Male', 'Age': '46', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1854', 'Nationality': 'Irish', 'Deathyear': '1900', 'Children': True}"
Daley Thompson,"{'Name': 'Daley Thompson', 'Gender': 'Male', 'Age': '56', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1958', 'Nationality': 'British', 'Deathyear': False, 'Children': False}"
Matthew P. Denn,"{'Name': 'Matthew P. Denn', 'Gender': 'Male', 'Age': '48', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1966', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Joe Penna,"{'Name': 'Joe Penna', 'Gender': 'Male', 'Age': '27', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1987', 'Nationality': 'Brazilian', 'Deathyear': False, 'Children': False}"
Laurene Powell Jobs,"{'Name': 'Laurene Powell Jobs', 'Gender': 'Female', 'Age': '51', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1963', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Arthur Nebe,"{'Name': 'Arthur Nebe', 'Gender': 'Male', 'Age': '51', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1894', 'Nationality': 'Unknown', 'Deathyear': '1945', 'Children': False}"
Mandagadde Rama Jois,"{'Name': 'Mandagadde Rama Jois', 'Gender': 'Male', 'Age': '83', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1931', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Jyotirao Phule,"{'Name': 'Jyotirao Phule', 'Gender': 'Male', 'Age': '63', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1827', 'Nationality': 'Unknown', 'Deathyear': '1890', 'Children': False}"
Scott Brown,"{'Name': 'Scott Brown', 'Gender': 'Male', 'Age': '55', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1959', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Shilendra Kumar Singh,"{'Name': 'Shilendra Kumar Singh', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1932', 'Nationality': 'Unknown', 'Deathyear': '2009', 'Children': True}"
Philip II of Spain,"{'Name': 'Philip II of Spain', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1527', 'Nationality': 'Unknown', 'Deathyear': '1598', 'Children': False}"
William Gitau,"{'Name': 'William Gitau', 'Gender': 'Male', 'Age': '53', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1961', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Muriel Humphrey,"{'Name': 'Muriel Humphrey', 'Gender': 'Female', 'Age': '86', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1912', 'Nationality': 'American', 'Deathyear': '1998', 'Children': True}"
Boris Fedorov,"{'Name': 'Boris Fedorov', 'Gender': 'Male', 'Age': '50', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1958', 'Nationality': 'Unknown', 'Deathyear': '2008', 'Children': False}"
Rick Parry,"{'Name': 'Rick Parry', 'Gender': 'Male', 'Age': '59', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1955', 'Nationality': 'British', 'Deathyear': False, 'Children': False}"
Hassan Rouhani,"{'Name': 'Hassan Rouhani', 'Gender': 'Male', 'Age': '66', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1948', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Ida Dalser,"{'Name': 'Ida Dalser', 'Gender': 'Female', 'Age': '57', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1880', 'Nationality': 'Unknown', 'Deathyear': '1937', 'Children': True}"
Thomas Jefferson,"{'Name': 'Thomas Jefferson', 'Gender': 'Male', 'Age': '83', 'Married': True, 'Profession': 'author', 'Alive': False, 'Birthyear': '1743', 'Nationality': 'Unknown', 'Deathyear': '1826', 'Children': True}"
King Chip,"{'Name': 'King Chip', 'Gender': 'Male', 'Age': '28', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1986', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Orson Welles,"{'Name': 'Orson Welles', 'Gender': 'Male', 'Age': '70', 'Married': True, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1915', 'Nationality': 'Unknown', 'Deathyear': '1985', 'Children': True}"
Paul von Krause,"{'Name': 'Paul von Krause', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1852', 'Nationality': 'Unknown', 'Deathyear': '1923', 'Children': False}"
Katharina von Bora,"{'Name': 'Katharina von Bora', 'Gender': 'Female', 'Age': '53', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1499', 'Nationality': 'Unknown', 'Deathyear': '1552', 'Children': False}"
Chris Willis,"{'Name': 'Chris Willis', 'Gender': 'Male', 'Age': '45', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1969', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Edwin Reinecke,"{'Name': 'Edwin Reinecke', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Caspar Weinberger,"{'Name': 'Caspar Weinberger', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1917', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': False}"
Heinrich Heine,"{'Name': 'Heinrich Heine', 'Gender': 'Male', 'Age': '59', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1797', 'Nationality': 'German', 'Deathyear': '1856', 'Children': False}"
Sahib Singh Verma,"{'Name': 'Sahib Singh Verma', 'Gender': 'Male', 'Age': '64', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1943', 'Nationality': 'Unknown', 'Deathyear': '2007', 'Children': True}"
Khloe Kardashian,"{'Name': 'Khloe Kardashian', 'Gender': 'Female', 'Age': '30', 'Married': True, 'Profession': 'basketball player', 'Alive': True, 'Birthyear': '1984', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Sardar Vallabhbhai Patel,"{'Name': 'Sardar Vallabhbhai Patel', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1875', 'Nationality': 'Indian', 'Deathyear': '1950', 'Children': True}"
Rana Sanga,"{'Name': 'Rana Sanga', 'Gender': 'Male', 'Age': '43', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1484', 'Nationality': 'Unknown', 'Deathyear': '1527', 'Children': False}"
Shyamal Kumar Sen,"{'Name': 'Shyamal Kumar Sen', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1940', 'Nationality': 'Indian', 'Deathyear': False, 'Children': False}"
